system,BLEU_1,BLEU_2,BLEU_3,BLEU_4,ROUGE_1,ROUGE_2,ROUGE_L,METEOR,CORPUS_BLEU_4,LENGTH_RATIO,NUMBER_OF_SAMPLES
Retrieval only Top1 [OpenAICLIP (zero-shot)],0.2427,0.134,0.0839,0.055,0.3708,0.1339,0.266,0.2337,0.0723,1.04,590
Retrieval only Top1 [PubMedCLIP (zero-shot)],0.2416,0.131,0.0801,0.0529,0.3704,0.1294,0.2621,0.2291,0.0698,1.06,590
Retrieval only Top1 [BiomedCLIP (zero-shot)],0.2425,0.1341,0.0833,0.0549,0.3683,0.1309,0.2602,0.2341,0.0733,1.07,590
