system,BLEU_1,BLEU_2,BLEU_3,BLEU_4,ROUGE_1,ROUGE_2,ROUGE_L,METEOR,CORPUS_BLEU_4,LENGTH_RATIO,NUMBER_OF_SAMPLES
Refiner Agent [Llama],0.3137,0.186,0.1293,0.0893,0.436,0.187,0.3133,0.3167,0.1061,1.31,20
Refiner Agent [Qwen],0.2717,0.1493,0.0945,0.0631,0.4013,0.1499,0.3024,0.2633,0.0721,1.38,20
Refiner Agent [Deepseek],0.3217,0.1998,0.141,0.1044,0.4411,0.2135,0.3476,0.307,0.1264,1.26,20
