system,BLEU_1,BLEU_2,BLEU_3,BLEU_4,ROUGE_1,ROUGE_2,ROUGE_L,METEOR,CORPUS_BLEU_4,LENGTH_RATIO,NUMBER_OF_SAMPLES
Draft Agent [Llama],0.3176,0.1883,0.1328,0.0933,0.435,0.1868,0.3178,0.3165,0.1104,1.28,20
Draft Agent [Qwen],0.2765,0.1559,0.1026,0.0684,0.4074,0.1583,0.3114,0.2658,0.0787,1.35,20
Draft Agent [Deepseek],0.3229,0.2003,0.1403,0.1016,0.4442,0.2137,0.3508,0.3073,0.1253,1.27,20
